# Wavelength (µm)	QE
2.011	0.567476241
2.012	0.567326646
2.013	0.566833861
2.014	0.566402675
2.015	0.565909891
2.016	0.565452306
2.0171	0.565135516
2.0181	0.564765927
2.0189	0.564325942
2.0199	0.563912355
2.021	0.563657163
2.022	0.563393171
2.023	0.563076382
2.024	0.562909187
2.025	0.562724393
2.026	0.562557198
2.027	0.562469201
2.028	0.562442802
2.029	0.562398803
2.0301	0.562460401
2.0311	0.562416403
2.0321	0.562442802
2.0329	0.562478001
2.0339	0.562398803
2.035	0.562451602
2.036	0.5625044
2.037	0.562442802
2.038	0.562521999
2.039	0.562557198
2.04	0.562653995
2.041	0.562759592
2.042	0.562891587
2.043	0.563023583
2.044	0.563234776
2.0451	0.563340373
2.0461	0.563489968
2.0469	0.563630764
2.0479	0.563877156
2.0489	0.564035551
2.05	0.564255544
2.051	0.564493136
2.052	0.564765927
2.053	0.56501232
2.054	0.565241112
2.055	0.565540303
2.056	0.565971489
2.057	0.566349877
2.058	0.566693066
2.059	0.567159451
2.06	0.56750264
2.0611	0.567986624
2.0621	0.568505808
2.0629	0.569024991
2.0639	0.569561774
2.0649	0.570212953
2.066	0.570837733
2.067	0.571339317
2.068	0.571999296
2.069	0.572650475
2.07	0.573389652
2.071	0.574032031
2.072	0.574788807
2.073	0.575404787
2.074	0.576143963
2.075	0.576839141
2.076	0.577587117
2.077	0.578167899
2.0781	0.578845477
2.0791	0.579611052
2.0801	0.58029743
2.0809	0.581071806
2.0819	0.581828581
2.0829	0.582611756
